"","adult_female","adult_male","juvenile_female","juvenile_male"
"season 1",1696110.46363156,3213489.06644022,985777.76089754,985777.76089754
"season 2",2332055.30259841,3651901.97916598,0,0
"season 3",2332055.30259841,3651901.97916598,0,0
